"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,total -m --output 4_simult_j4.csv 1",,,,"Date:","17 May 2016 18:52:01 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
4.068,0.540,95.027,0.343,0.000,0.022,3.803,0.498,95.403,0.288,0.000,0.009,3.693,0.461,95.601,0.237,0.000,0.008,3.634,0.442,95.675,0.246,0.000,0.003,3.616,0.499,95.552,0.329,0.000,0.004,3.556,0.436,95.753,0.252,0.0,0.004,3.512,0.418,95.840,0.228,0.0,0.001,3.564,0.430,95.770,0.231,0.000,0.005,3.681,0.465,95.578,0.269,0.000,0.007,3943899136.0,254406656.0,13669208064.0,11635699712.0
32.673,2.970,64.356,0.0,0.0,0.0,50.505,6.061,43.434,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,17.0,3.0,80.0,0.0,0.0,0.0,20.619,12.371,63.918,3.093,0.0,0.0,6.863,5.882,87.255,0.0,0.0,0.0,12.121,4.040,83.838,0.0,0.0,0.0,17.0,2.0,81.0,0.0,0.0,0.0,19.472,4.397,75.628,0.503,0.0,0.0,3960360960.0,254406656.0,13741051904.0,11547394048.0
41.414,3.030,55.556,0.0,0.0,0.0,13.131,4.040,82.828,0.0,0.0,0.0,34.653,0.0,65.347,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.408,13.265,65.306,0.0,0.0,1.020,22.222,1.010,76.768,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,29.345,2.771,67.884,0.0,0.0,0.0,3964436480.0,254406656.0,13813981184.0,11470389248.0
15.464,16.495,58.763,8.247,0.0,1.031,20.619,10.309,68.041,1.031,0.0,0.0,14.141,6.061,79.798,0.0,0.0,0.0,17.0,2.0,81.0,0.0,0.0,0.0,7.071,3.030,68.687,21.212,0.0,0.0,3.0,3.0,94.0,0.0,0.0,0.0,68.0,4.0,28.0,0.0,0.0,0.0,3.960,2.970,90.099,2.970,0.0,0.0,18.411,5.927,71.122,4.288,0.0,0.252,4000940032.0,256102400.0,13987344384.0,11258826752.0
30.303,20.202,44.444,5.051,0.0,0.0,36.082,6.186,57.732,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.082,6.122,89.796,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,18.750,11.458,66.667,3.125,0.0,0.0,23.834,5.801,69.357,1.009,0.0,0.0,4041846784.0,280461312.0,13987454976.0,11193450496.0
1.0,1.0,98.0,0.0,0.0,0.0,0.990,5.941,93.069,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,51.0,2.0,47.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.990,98.020,0.0,0.0,0.990,0.0,0.0,100.0,0.0,0.0,0.0,64.211,27.368,2.105,6.316,0.0,0.0,14.573,4.648,80.025,0.754,0.0,0.0,4098863104.0,304885760.0,13987454976.0,11112009728.0
11.111,5.051,81.818,1.010,0.0,1.010,10.101,6.061,83.838,0.0,0.0,0.0,4.0,1.0,95.0,0.0,0.0,0.0,13.861,4.950,81.188,0.0,0.0,0.0,55.446,27.723,10.891,5.941,0.0,0.0,32.323,4.040,63.636,0.0,0.0,0.0,16.162,2.020,81.818,0.0,0.0,0.0,3.960,3.960,91.089,0.990,0.0,0.0,18.491,6.792,73.711,0.881,0.0,0.126,4204429312.0,319819776.0,13987512320.0,10991452160.0
8.0,6.0,85.0,1.0,0.0,0.0,1.020,3.061,95.918,0.0,0.0,0.0,10.101,8.081,80.808,1.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,1.0,95.0,0.0,0.0,0.0,10.204,6.122,82.653,1.020,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,29.592,15.306,52.041,3.061,0.0,0.0,20.303,5.044,73.897,0.757,0.0,0.0,4266483712.0,334630912.0,13997359104.0,10904739840.0
13.0,3.0,84.0,0.0,0.0,0.0,4.040,3.030,92.929,0.0,0.0,0.0,38.0,2.0,36.0,24.0,0.0,0.0,0.0,2.062,97.938,0.0,0.0,0.0,40.816,16.327,0.0,42.857,0.0,0.0,28.283,4.040,26.263,41.414,0.0,0.0,15.842,1.980,76.238,5.941,0.0,0.0,8.911,2.970,58.416,29.703,0.0,0.0,18.616,4.403,58.868,18.113,0.0,0.0,4340297728.0,345870336.0,14016004096.0,10801041408.0
6.122,7.143,77.551,8.163,0.0,1.020,15.686,5.882,35.294,43.137,0.0,0.0,16.162,3.030,3.030,77.778,0.0,0.0,13.861,7.921,74.257,3.960,0.0,0.0,1.010,12.121,20.202,66.667,0.0,0.0,29.293,7.071,33.333,30.303,0.0,0.0,21.429,6.122,72.449,0.0,0.0,0.0,1.031,9.278,3.093,86.598,0.0,0.0,13.115,7.440,39.975,39.344,0.0,0.126,4345204736.0,346152960.0,14189596672.0,10622259200.0
