"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,total -m --output 4_simult_shift30_j8.csv 1",,,,"Date:","17 May 2016 20:30:41 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
4.245,0.583,94.740,0.410,0.000,0.022,3.975,0.535,95.133,0.348,0.000,0.009,3.843,0.499,95.352,0.298,0.000,0.008,3.784,0.478,95.432,0.303,0.000,0.003,3.761,0.544,95.306,0.384,0.000,0.005,3.707,0.471,95.508,0.309,0.0,0.004,3.654,0.454,95.604,0.287,0.0,0.001,3.720,0.462,95.532,0.282,0.000,0.005,3.836,0.503,95.326,0.328,0.000,0.007,4863217664.0,265719808.0,13979746304.0,10394529792.0
31.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,17.0,0.375,82.625,0.0,0.0,0.0,4884803584.0,265719808.0,13979750400.0,10372939776.0
5.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.931,0.0,93.069,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.378,0.125,98.496,0.0,0.0,0.0,4877406208.0,265719808.0,13979746304.0,10380341248.0
9.091,7.071,83.838,0.0,0.0,0.0,5.102,3.061,91.837,0.0,0.0,0.0,4.950,0.990,93.069,0.0,0.0,0.990,2.0,1.0,97.0,0.0,0.0,0.0,32.0,2.0,66.0,0.0,0.0,0.0,37.755,10.204,52.041,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,30.612,2.041,67.347,0.0,0.0,0.0,15.346,3.396,81.258,0.0,0.0,0.0,4888862720.0,265719808.0,14035374080.0,10313256960.0
0.0,0.0,100.0,0.0,0.0,0.0,5.0,4.0,91.0,0.0,0.0,0.0,5.102,2.041,92.857,0.0,0.0,0.0,0.0,3.093,96.907,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,8.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,77.228,8.911,13.861,0.0,0.0,0.0,12.075,2.390,85.409,0.0,0.0,0.126,4887863296.0,265719808.0,14114754560.0,10234875904.0
2.020,0.0,97.980,0.0,0.0,0.0,9.901,20.792,69.307,0.0,0.0,0.0,4.902,6.863,85.294,2.941,0.0,0.0,36.634,0.990,62.376,0.0,0.0,0.0,3.030,7.071,83.838,6.061,0.0,0.0,22.0,1.0,51.0,26.0,0.0,0.0,5.051,4.040,90.909,0.0,0.0,0.0,1.0,1.0,92.0,6.0,0.0,0.0,10.763,5.257,78.974,5.006,0.0,0.0,4887695360.0,267161600.0,14264352768.0,10084003840.0
0.0,1.980,98.020,0.0,0.0,0.0,3.960,5.941,89.109,0.990,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,56.436,31.683,11.881,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,8.020,5.138,86.717,0.125,0.0,0.0,4893388800.0,288104448.0,14298951680.0,10022768640.0
12.121,8.081,77.778,2.020,0.0,0.0,11.111,3.030,84.848,1.010,0.0,0.0,32.323,26.263,39.394,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.031,4.124,93.814,1.031,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,34.343,0.0,65.657,0.0,0.0,0.0,11.572,5.283,82.516,0.629,0.0,0.0,4920373248.0,312909824.0,14298955776.0,9970974720.0
0.0,2.041,97.959,0.0,0.0,0.0,41.0,21.0,32.0,6.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.0,8.0,67.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.970,97.030,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.654,4.517,86.449,1.380,0.0,0.0,4955213824.0,324136960.0,14298955776.0,9924907008.0
41.584,0.0,57.426,0.0,0.0,0.990,28.283,15.152,50.505,6.061,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,32.292,14.583,48.958,4.167,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.989,4.288,81.337,1.387,0.0,0.0,4998860800.0,341372928.0,14298955776.0,9864024064.0
