"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 1,2,3,4,5,6,7,total --output cpufile1",,,,"Date:","16 May 2016 16:34:40 UTC"

"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq"
3.763,0.479,95.501,0.249,0.000,0.008,3.683,0.444,95.660,0.205,0.000,0.008,3.616,0.427,95.729,0.225,0.000,0.003,3.596,0.475,95.639,0.286,0.000,0.004,3.541,0.423,95.811,0.221,0.0,0.004,3.517,0.405,95.868,0.208,0.0,0.001,3.548,0.419,95.822,0.207,0.000,0.004,3.661,0.448,95.645,0.239,0.000,0.007
11.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.496,0.249,98.254,0.0,0.0,0.0
20.202,10.101,69.697,0.0,0.0,0.0,25.743,3.960,70.297,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,2.062,97.938,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,2.041,4.082,93.878,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,10.493,3.793,85.714,0.0,0.0,0.0
3.030,4.040,85.859,7.071,0.0,0.0,5.051,0.0,94.949,0.0,0.0,0.0,7.0,2.0,87.0,3.0,0.0,1.0,2.041,1.020,96.939,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,4.0,94.0,0.0,0.0,0.0,11.111,4.040,84.848,0.0,0.0,0.0,12.201,2.767,83.774,1.132,0.0,0.126
10.0,2.0,32.0,56.0,0.0,0.0,3.030,1.010,95.960,0.0,0.0,0.0,5.941,3.960,90.099,0.0,0.0,0.0,4.082,2.041,92.857,1.020,0.0,0.0,2.041,1.020,96.939,0.0,0.0,0.0,4.0,2.0,94.0,0.0,0.0,0.0,9.091,0.0,90.909,0.0,0.0,0.0,5.006,1.627,85.857,7.384,0.0,0.125
0.0,0.0,83.838,16.162,0.0,0.0,1.010,13.131,79.798,6.061,0.0,0.0,6.061,13.131,80.808,0.0,0.0,0.0,1.020,3.061,89.796,6.122,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,18.182,15.152,61.616,5.051,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,4.051,6.456,85.316,4.177,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,1.031,98.969,0.0,0.0,0.0,0.0,3.093,96.907,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.278,7.216,80.412,3.093,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,7.296,4.654,86.164,1.761,0.0,0.126
14.141,9.091,71.717,5.051,0.0,0.0,0.0,6.0,94.0,0.0,0.0,0.0,21.875,10.417,63.542,4.167,0.0,0.0,0.0,3.093,96.907,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,21.782,8.911,65.347,3.960,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.342,4.557,86.456,1.646,0.0,0.0
12.371,6.186,78.351,3.093,0.0,0.0,0.0,4.040,95.960,0.0,0.0,0.0,36.082,18.557,37.113,8.247,0.0,0.0,0.0,3.093,96.907,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.091,2.020,86.869,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.089,4.430,86.835,1.646,0.0,0.0
37.374,17.172,36.364,9.091,0.0,0.0,0.0,4.040,95.960,0.0,0.0,0.0,20.202,10.101,64.646,5.051,0.0,0.0,0.0,6.0,94.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.179,4.534,86.650,1.637,0.0,0.0
