"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,total -m --output from_scratch_j8.csv 1",,,,"Date:","17 May 2016 16:17:20 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
3.837,0.509,95.317,0.315,0.000,0.021,3.588,0.471,95.673,0.260,0.000,0.008,3.481,0.434,95.865,0.212,0.000,0.007,3.427,0.415,95.929,0.225,0.000,0.003,3.411,0.470,95.817,0.297,0.000,0.004,3.351,0.409,96.014,0.222,0.0,0.004,3.315,0.393,96.084,0.208,0.0,0.001,3.358,0.405,96.023,0.209,0.000,0.004,3.471,0.438,95.840,0.244,0.000,0.007,3866234880.0,161124352.0,6556880896.0,18918973440.0
49.0,5.0,46.0,0.0,0.0,0.0,6.0,6.0,88.0,0.0,0.0,0.0,3.0,2.0,95.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,26.0,1.0,73.0,0.0,0.0,0.0,0.0,3.125,96.875,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,11.069,2.516,86.415,0.0,0.0,0.0,3893858304.0,161124352.0,6584078336.0,18864152576.0
1.010,0.0,98.990,0.0,0.0,0.0,3.158,6.316,90.526,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,88.0,10.0,2.0,0.0,0.0,0.0,1.031,6.186,92.784,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.061,0.0,93.939,0.0,0.0,0.0,12.626,3.409,83.965,0.0,0.0,0.0,3895070720.0,161124352.0,6664351744.0,18782666752.0
0.0,2.0,93.0,5.0,0.0,0.0,9.184,5.102,85.714,0.0,0.0,0.0,6.122,9.184,84.694,0.0,0.0,0.0,48.0,5.0,46.0,1.0,0.0,0.0,1.010,4.040,91.919,3.030,0.0,0.0,0.990,2.970,73.267,22.772,0.0,0.0,0.990,0.990,94.059,3.960,0.0,0.0,31.0,4.0,65.0,0.0,0.0,0.0,12.091,3.904,79.471,4.408,0.0,0.126,3900674048.0,161398784.0,6717018112.0,18724122624.0
3.030,2.020,92.929,2.020,0.0,0.0,10.891,29.703,59.406,0.0,0.0,0.0,0.0,0.0,98.969,1.031,0.0,0.0,1.020,0.0,98.980,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,0.0,97.980,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,27.723,1.980,68.317,1.980,0.0,0.0,5.772,4.517,88.959,0.753,0.0,0.0,3900973056.0,162324480.0,6726598656.0,18713317376.0
3.0,0.0,97.0,0.0,0.0,0.0,7.0,1.0,92.0,0.0,0.0,0.0,4.0,1.0,94.0,1.0,0.0,0.0,9.0,25.0,66.0,0.0,0.0,0.0,10.101,11.111,78.788,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,3.960,0.0,96.040,0.0,0.0,0.0,49.495,1.010,49.495,0.0,0.0,0.0,10.678,4.899,84.171,0.126,0.0,0.126,3901763584.0,162336768.0,6729875456.0,18709237760.0
0.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,29.0,1.0,70.0,0.0,0.0,0.0,1.0,0.0,98.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.040,1.010,94.949,0.0,0.0,0.0,5.138,0.251,94.486,0.125,0.0,0.0,3901648896.0,162349056.0,6736326656.0,18702888960.0
22.222,5.051,72.727,0.0,0.0,0.0,38.384,0.0,61.616,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,33.0,1.0,66.0,0.0,0.0,0.0,17.0,1.0,82.0,0.0,0.0,0.0,0.0,1.020,97.959,1.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,17.172,3.030,76.768,0.0,0.0,3.030,16.040,1.504,81.830,0.251,0.0,0.376,3905650688.0,162357248.0,6765051904.0,18670153728.0
56.0,1.0,43.0,0.0,0.0,0.0,6.0,0.0,94.0,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,30.693,0.990,65.347,0.0,0.0,2.970,11.890,0.501,81.227,6.133,0.0,0.250,3903557632.0,162361344.0,6777511936.0,18659782656.0
0.0,0.0,100.0,0.0,0.0,0.0,1.961,0.980,97.059,0.0,0.0,0.0,31.313,0.0,68.687,0.0,0.0,0.0,64.646,0.0,34.343,1.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,36.364,61.616,0.0,0.0,0.0,1.0,72.0,27.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.0,0.500,76.250,11.250,0.0,0.0,3904331776.0,162394112.0,6792892416.0,18643595264.0
8.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,84.0,1.0,15.0,0.0,0.0,0.0,5.941,9.901,84.158,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.375,1.500,86.125,0.0,0.0,0.0,3921596416.0,162410496.0,6771339264.0,18647867392.0
