"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,total -m --output one_commit_j4.csv 1",,,,"Date:","17 May 2016 11:58:32 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
3.616,0.474,95.603,0.286,0.000,0.021,3.366,0.439,95.961,0.227,0.000,0.008,3.289,0.408,96.106,0.190,0.000,0.007,3.225,0.388,96.179,0.205,0.000,0.003,3.207,0.432,96.096,0.261,0.000,0.004,3.155,0.384,96.256,0.202,0.0,0.003,3.131,0.367,96.313,0.188,0.0,0.001,3.163,0.379,96.267,0.186,0.000,0.004,3.269,0.409,96.098,0.218,0.000,0.006,3286728704.0,274477056.0,20137607168.0,5804400640.0
12.871,1.980,85.149,0.0,0.0,0.0,13.0,6.0,81.0,0.0,0.0,0.0,60.606,6.061,33.333,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.010,2.020,78.788,18.182,0.0,0.0,7.843,6.863,85.294,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.713,3.149,82.997,2.141,0.0,0.0,3290304512.0,274477056.0,20212187136.0,5726244864.0
26.733,8.911,64.356,0.0,0.0,0.0,14.286,2.041,83.673,0.0,0.0,0.0,5.102,1.020,93.878,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.020,1.020,40.816,57.143,0.0,0.0,15.789,6.316,68.421,9.474,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.935,2.645,80.982,8.438,0.0,0.0,3291758592.0,274776064.0,20260798464.0,5675880448.0
16.162,9.091,72.727,2.020,0.0,0.0,28.0,30.0,38.0,4.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.083,5.208,91.667,1.042,0.0,0.0,3.0,3.0,94.0,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,1.961,0.0,97.059,0.980,0.0,0.0,6.792,6.289,86.038,0.881,0.0,0.0,3331874816.0,295944192.0,20419162112.0,5456232448.0
22.222,13.131,60.606,4.040,0.0,0.0,36.364,17.172,38.384,8.081,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,6.0,94.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.305,4.786,86.398,1.511,0.0,0.0,3386318848.0,321748992.0,20419162112.0,5375983616.0
30.0,22.0,44.0,4.0,0.0,0.0,29.0,8.0,61.0,2.0,0.0,0.0,3.0,3.0,93.0,1.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,7.905,4.642,86.700,0.753,0.0,0.0,3444994048.0,335052800.0,20419162112.0,5304004608.0
46.465,19.192,26.263,7.071,0.0,1.010,0.0,1.010,98.990,0.0,0.0,0.0,15.306,7.143,75.510,2.041,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0,92.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,7.779,4.517,86.324,1.255,0.0,0.125,3501342720.0,351846400.0,20419162112.0,5230862336.0
13.0,10.0,75.0,2.0,0.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,29.0,16.0,49.0,6.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,0.0,2.062,97.938,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.224,8.163,77.551,3.061,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,6.683,5.170,86.759,1.387,0.0,0.0,3567501312.0,373268480.0,20419162112.0,5143281664.0
0.0,2.020,33.333,64.646,0.0,0.0,0.0,1.0,64.0,35.0,0.0,0.0,32.653,2.041,5.102,60.204,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.041,5.102,92.857,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.941,4.950,38.614,50.495,0.0,0.0,3.0,7.0,67.0,23.0,0.0,0.0,5.388,2.632,51.629,40.351,0.0,0.0,3596541952.0,374718464.0,20492681216.0,5039271936.0
2.970,1.980,21.782,73.267,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.061,93.939,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.980,3.922,3.922,91.176,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.500,0.625,66.125,32.750,0.0,0.0,3600814080.0,375156736.0,20498124800.0,5029117952.0
