"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,total -m --output 2_simult_j4.csv 1",,,,"Date:","17 May 2016 21:22:05 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
4.327,0.599,94.617,0.434,0.000,0.023,4.043,0.551,95.030,0.368,0.000,0.009,3.906,0.514,95.255,0.317,0.000,0.008,3.854,0.492,95.331,0.320,0.000,0.003,3.827,0.561,95.205,0.402,0.000,0.005,3.766,0.485,95.416,0.328,0.0,0.004,3.714,0.466,95.515,0.304,0.0,0.001,3.782,0.475,95.437,0.302,0.000,0.005,3.902,0.518,95.226,0.347,0.000,0.007,4249624576.0,268058624.0,21064642560.0,3920887808.0
0.0,0.0,95.050,3.960,0.0,0.990,2.083,3.125,94.792,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,38.0,1.0,61.0,0.0,0.0,0.0,6.061,4.040,89.899,0.0,0.0,0.0,27.0,4.0,69.0,0.0,0.0,0.0,52.525,8.081,39.394,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,15.704,2.764,80.905,0.503,0.0,0.126,4282363904.0,268066816.0,21142396928.0,3810385920.0
2.020,2.020,30.303,65.657,0.0,0.0,14.286,5.102,80.612,0.0,0.0,0.0,7.921,2.970,89.109,0.0,0.0,0.0,59.804,2.941,37.255,0.0,0.0,0.0,6.122,2.041,88.776,3.061,0.0,0.0,26.804,4.124,68.041,1.031,0.0,0.0,8.0,2.0,86.0,4.0,0.0,0.0,1.961,0.980,97.059,0.0,0.0,0.0,15.935,2.635,72.020,9.285,0.0,0.125,4303495168.0,268697600.0,21164400640.0,3766620160.0
12.371,16.495,70.103,1.031,0.0,0.0,2.020,1.010,94.949,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,27.835,9.278,59.794,3.093,0.0,0.0,2.0,4.0,78.0,16.0,0.0,0.0,1.0,3.0,92.0,4.0,0.0,0.0,8.247,12.371,78.351,1.031,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,6.607,5.718,84.371,3.304,0.0,0.0,4301242368.0,283992064.0,21324378112.0,3593601024.0
27.551,16.327,50.0,5.102,0.0,1.020,0.0,0.0,100.0,0.0,0.0,0.0,39.394,1.010,59.596,0.0,0.0,0.0,27.835,15.464,51.546,5.155,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,94.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.824,5.283,81.509,1.258,0.0,0.126,4335595520.0,300449792.0,21324378112.0,3542790144.0
46.465,18.182,25.253,10.101,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,20.0,7.0,70.0,3.0,0.0,0.0,0.0,0.990,98.020,0.0,0.0,0.990,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.082,95.918,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.417,4.397,85.553,1.508,0.0,0.126,4381384704.0,322019328.0,21324382208.0,3475427328.0
25.510,10.204,61.224,3.061,0.0,0.0,28.283,2.020,69.697,0.0,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,4.040,3.030,92.929,0.0,0.0,0.0,19.588,5.155,74.227,1.031,0.0,0.0,27.835,15.464,52.577,4.124,0.0,0.0,2.041,2.041,95.918,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,13.688,5.323,79.975,1.014,0.0,0.0,4448251904.0,333692928.0,21332983808.0,3388284928.0
49.505,18.812,26.733,4.950,0.0,0.0,0.0,2.020,84.848,13.131,0.0,0.0,1.020,1.020,96.939,0.0,0.0,1.020,1.0,0.0,99.0,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,21.0,6.0,72.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,3.030,91.919,4.040,0.0,0.0,9.206,4.035,83.733,3.026,0.0,0.0,4496220160.0,345882624.0,21351645184.0,3309465600.0
40.594,1.980,56.436,0.0,0.0,0.990,41.414,6.061,52.525,0.0,0.0,0.0,3.0,3.0,94.0,0.0,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,0.0,2.0,21.0,77.0,0.0,0.0,32.292,14.583,0.0,53.125,0.0,0.0,4.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,15.424,3.793,64.475,16.182,0.0,0.126,4511424512.0,350990336.0,21407485952.0,3233312768.0
1.010,1.010,63.636,34.343,0.0,0.0,4.082,1.020,61.224,33.673,0.0,0.0,9.091,0.0,50.505,40.404,0.0,0.0,23.0,6.0,47.0,24.0,0.0,0.0,0.0,7.0,0.0,93.0,0.0,0.0,52.083,10.417,22.917,14.583,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,0.0,78.788,20.202,0.0,0.0,11.069,3.522,52.956,32.327,0.0,0.126,4517085184.0,351092736.0,21521088512.0,3113947136.0
55.556,4.040,40.404,0.0,0.0,0.0,0.0,1.0,51.0,48.0,0.0,0.0,0.990,0.990,35.644,62.376,0.0,0.0,3.030,4.040,34.343,58.586,0.0,0.0,0.0,4.082,54.082,41.837,0.0,0.0,8.081,2.020,77.778,12.121,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.408,5.102,15.306,59.184,0.0,0.0,11.083,2.393,51.259,35.264,0.0,0.0,4530483200.0,356634624.0,21558738944.0,3057356800.0
4.0,1.0,95.0,0.0,0.0,0.0,5.102,7.143,85.714,2.041,0.0,0.0,1.010,1.010,85.859,12.121,0.0,0.0,1.020,2.041,84.694,12.245,0.0,0.0,3.960,5.941,86.139,3.960,0.0,0.0,4.040,2.020,74.747,19.192,0.0,0.0,5.102,5.102,87.755,2.041,0.0,0.0,23.529,6.863,46.078,23.529,0.0,0.0,6.045,3.778,80.730,9.446,0.0,0.0,4568326144.0,365711360.0,21568524288.0,3000651776.0
14.141,5.051,79.798,1.010,0.0,0.0,0.980,0.0,98.039,0.0,0.0,0.980,0.0,0.0,100.0,0.0,0.0,0.0,62.376,6.931,29.703,0.990,0.0,0.0,25.510,14.286,58.163,2.041,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,3.093,2.062,94.845,0.0,0.0,0.0,13.250,4.0,82.125,0.500,0.0,0.125,4627177472.0,380071936.0,21593010176.0,2902953984.0
57.0,28.0,5.0,10.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,3.093,7.216,88.660,1.031,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,92.0,6.0,0.0,0.0,7.818,4.918,84.994,2.270,0.0,0.0,4702453760.0,392470528.0,21657268224.0,2751021056.0
49.495,24.242,18.182,8.081,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,42.0,8.0,48.0,2.0,0.0,0.0,1.031,2.062,96.907,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,12.060,4.774,81.910,1.256,0.0,0.0,4774744064.0,411545600.0,21681778688.0,2635145216.0
22.680,4.124,41.237,31.959,0.0,0.0,2.0,6.0,71.0,21.0,0.0,0.0,0.0,3.960,83.168,12.871,0.0,0.0,17.526,29.897,25.773,26.804,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,5.0,10.0,85.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.905,6.784,75.879,11.432,0.0,0.0,4806504448.0,430653440.0,21846011904.0,2420043776.0
4.0,0.0,47.0,49.0,0.0,0.0,31.0,0.0,69.0,0.0,0.0,0.0,0.980,2.941,39.216,56.863,0.0,0.0,38.0,12.0,0.0,50.0,0.0,0.0,0.0,4.124,41.237,54.639,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.286,1.020,43.878,40.816,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.028,2.632,54.887,31.328,0.0,0.125,4840783872.0,437035008.0,21850353664.0,2375041024.0
2.020,0.0,0.0,97.980,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,3.960,0.990,95.050,0.0,0.0,0.990,0.0,0.0,99.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.501,0.627,37.594,61.278,0.0,0.0,4841095168.0,437059584.0,21875527680.0,2349531136.0
28.0,1.0,53.0,18.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.143,50.0,42.857,0.0,0.0,31.633,14.286,2.041,52.041,0.0,0.0,8.911,3.960,52.475,34.653,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,55.0,43.0,0.0,0.0,0.0,0.0,74.0,26.0,0.0,0.0,8.553,3.396,61.132,26.918,0.0,0.0,4869017600.0,447975424.0,21909741568.0,2276478976.0
