"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,total -m --output 4_simult_shift10_j8.csv 1",,,,"Date:","17 May 2016 20:16:30 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
4.209,0.573,94.800,0.396,0.000,0.022,3.940,0.527,95.189,0.336,0.000,0.009,3.809,0.490,95.406,0.286,0.000,0.008,3.750,0.471,95.483,0.294,0.000,0.003,3.728,0.533,95.362,0.372,0.000,0.005,3.675,0.464,95.557,0.300,0.0,0.004,3.622,0.447,95.656,0.274,0.0,0.001,3.686,0.455,95.582,0.273,0.000,0.005,3.802,0.495,95.379,0.316,0.000,0.007,3968864256.0,265662464.0,13557096448.0,11711590400.0
91.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,97.030,0.990,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.596,0.249,88.030,0.125,0.0,0.0,3994972160.0,265662464.0,13557100544.0,11685478400.0
46.392,8.247,45.361,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,15.152,4.040,80.808,0.0,0.0,0.0,45.455,1.010,53.535,0.0,0.0,0.0,3.960,6.931,89.109,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,0.990,4.950,94.059,0.0,0.0,0.0,7.143,0.0,92.857,0.0,0.0,0.0,14.880,3.405,81.715,0.0,0.0,0.0,4004704256.0,265662464.0,13604216832.0,11628630016.0
11.0,3.0,86.0,0.0,0.0,0.0,60.0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.125,3.125,93.750,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,16.162,1.010,82.828,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.349,2.774,85.876,0.0,0.0,0.0,4006457344.0,265662464.0,13678813184.0,11552280576.0
9.184,6.122,69.388,15.306,0.0,0.0,3.030,3.030,92.929,1.010,0.0,0.0,6.122,0.0,86.735,6.122,0.0,1.020,38.384,1.010,60.606,0.0,0.0,0.0,5.051,4.040,85.859,5.051,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.408,2.041,77.551,0.0,0.0,0.0,18.557,4.124,74.227,3.093,0.0,0.0,12.785,2.532,80.759,3.924,0.0,0.0,4010074112.0,266428416.0,13717663744.0,11509047296.0
20.0,17.0,61.0,2.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,17.347,8.163,72.449,2.041,0.0,0.0,13.0,13.0,74.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,4.0,13.0,83.0,0.0,0.0,0.0,6.892,6.767,85.714,0.627,0.0,0.0,4017606656.0,284569600.0,13876027392.0,11325009920.0
30.928,17.526,45.361,6.186,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,27.273,14.141,55.556,3.030,0.0,0.0,0.0,6.061,93.939,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,34.0,0.0,66.0,0.0,0.0,0.0,11.839,5.164,81.990,1.008,0.0,0.0,4063784960.0,306188288.0,13876031488.0,11257208832.0
0.0,0.0,98.020,0.0,0.0,1.980,13.131,9.091,75.758,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,43.0,20.0,34.0,3.0,0.0,0.0,0.0,3.061,96.939,0.0,0.0,0.0,8.081,1.010,89.899,1.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.020,4.010,86.842,0.877,0.0,0.251,4113920000.0,323506176.0,13876031488.0,11189755904.0
34.0,19.0,42.0,4.0,0.0,1.0,20.0,8.0,70.0,2.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,10.0,4.0,84.0,2.0,0.0,0.0,25.253,4.040,70.707,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.980,1.961,97.059,0.0,0.0,0.0,8.081,0.0,91.919,0.0,0.0,0.0,12.296,4.893,81.681,1.004,0.0,0.125,4179017728.0,342585344.0,13876031488.0,11105579008.0
7.843,0.980,82.353,8.824,0.0,0.0,30.0,9.0,51.0,10.0,0.0,0.0,16.162,16.162,65.657,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10.204,7.143,76.531,6.122,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.789,4.397,84.422,3.266,0.0,0.126,4226854912.0,359833600.0,13913305088.0,11003219968.0
