"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,total -m --output from_scratch_j4.csv 1",,,,"Date:","18 May 2016 08:19:43 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
4.131,0.576,94.846,0.424,0.000,0.022,3.861,0.528,95.247,0.355,0.000,0.009,3.713,0.492,95.474,0.312,0.000,0.008,3.654,0.472,95.558,0.312,0.000,0.003,3.625,0.543,95.439,0.390,0.000,0.004,3.567,0.463,95.650,0.317,0.0,0.004,3.521,0.444,95.736,0.297,0.0,0.001,3.583,0.452,95.669,0.291,0.000,0.004,3.707,0.496,95.453,0.337,0.000,0.007,4405968896.0,269533184.0,8151040000.0,16676671488.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,98.020,1.980,0.0,0.0,0.0,0.0,18.477,0.375,81.149,0.0,0.0,0.0,4449382400.0,269533184.0,8151048192.0,16633249792.0
26.531,2.041,71.429,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,3.960,2.970,93.069,0.0,0.0,0.0,22.772,8.911,68.317,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,4.082,5.102,90.816,0.0,0.0,0.0,6.931,3.960,89.109,0.0,0.0,0.0,8.156,3.137,88.582,0.0,0.0,0.125,4449259520.0,269533184.0,8181170176.0,16603250688.0
28.431,4.902,66.667,0.0,0.0,0.0,57.0,2.0,41.0,0.0,0.0,0.0,1.031,11.340,87.629,0.0,0.0,0.0,7.0,2.0,91.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,47.423,2.062,50.515,0.0,0.0,0.0,17.714,3.015,79.271,0.0,0.0,0.0,4466655232.0,269533184.0,8257036288.0,16509988864.0
2.0,1.0,94.0,2.0,0.0,1.0,22.105,11.579,53.684,12.632,0.0,0.0,39.604,4.950,55.446,0.0,0.0,0.0,6.0,0.0,94.0,0.0,0.0,0.0,0.0,1.020,83.673,15.306,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.042,6.250,90.625,2.083,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.987,3.038,83.924,3.924,0.0,0.127,4465754112.0,270114816.0,8310558720.0,16456785920.0
5.102,1.020,93.878,0.0,0.0,0.0,8.0,13.0,25.0,54.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,15.842,2.970,80.198,0.990,0.0,0.0,19.0,1.0,78.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.071,3.030,89.899,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,6.801,3.023,83.123,7.053,0.0,0.0,4469547008.0,270565376.0,8317308928.0,16445792256.0
1.980,0.990,96.040,0.0,0.0,0.990,6.061,19.192,73.737,1.010,0.0,0.0,24.0,15.0,59.0,0.0,0.0,2.0,4.040,0.0,95.960,0.0,0.0,0.0,5.051,17.172,75.758,2.020,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,4.040,1.010,94.949,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.897,6.524,87.077,0.376,0.0,0.125,4470644736.0,270598144.0,8326258688.0,16435712000.0
29.293,0.0,70.707,0.0,0.0,0.0,3.960,0.0,94.059,1.980,0.0,0.0,20.0,1.053,76.842,0.0,0.0,2.105,0.990,0.0,99.010,0.0,0.0,0.0,7.921,0.990,91.089,0.0,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,24.0,1.0,75.0,0.0,0.0,0.0,4.0,1.0,94.0,0.0,0.0,1.0,12.720,0.630,86.020,0.252,0.0,0.378,4470849536.0,270602240.0,8359694336.0,16402067456.0
5.882,0.980,93.137,0.0,0.0,0.0,3.030,1.010,95.960,0.0,0.0,0.0,3.191,0.0,96.809,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,52.525,1.010,46.465,0.0,0.0,0.0,46.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.041,0.0,97.959,0.0,0.0,0.0,14.232,0.630,85.139,0.0,0.0,0.0,4470710272.0,270602240.0,8383262720.0,16378638336.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,75.0,1.0,24.0,0.0,0.0,0.0,6.0,18.0,76.0,0.0,0.0,0.0,30.693,0.990,68.317,0.0,0.0,0.0,14.018,2.503,83.229,0.250,0.0,0.0,4481716224.0,270618624.0,8361979904.0,16388898816.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.093,55.670,41.237,0.0,0.0,2.0,10.0,88.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,66.667,2.020,31.313,0.0,0.0,0.0,0.0,0.0,83.838,16.162,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.647,2.256,81.955,7.018,0.0,0.125,4470128640.0,271192064.0,8362229760.0,16399663104.0
