"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,total -m --output one_commit_j2.csv 1",,,,"Date:","17 May 2016 12:43:51 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
3.628,0.475,95.589,0.287,0.000,0.021,3.379,0.441,95.944,0.228,0.000,0.008,3.290,0.409,96.104,0.191,0.000,0.007,3.233,0.390,96.169,0.205,0.000,0.003,3.213,0.433,96.086,0.264,0.000,0.004,3.165,0.385,96.245,0.202,0.0,0.003,3.132,0.367,96.310,0.189,0.0,0.001,3.167,0.379,96.262,0.187,0.000,0.004,3.276,0.410,96.089,0.219,0.000,0.006,2973351936.0,274575360.0,21178257408.0,5077028864.0
2.0,2.0,96.0,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,22.772,4.950,72.277,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,41.237,6.186,52.577,0.0,0.0,0.0,9.0,7.0,84.0,0.0,0.0,0.0,9.572,3.023,87.406,0.0,0.0,0.0,2985201664.0,274575360.0,21227102208.0,5016334336.0
54.0,2.0,44.0,0.0,0.0,0.0,17.0,3.0,80.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.163,4.082,87.755,0.0,0.0,0.0,11.881,0.990,87.129,0.0,0.0,0.0,49.0,10.0,41.0,0.0,0.0,0.0,5.051,5.051,84.848,5.051,0.0,0.0,18.296,3.133,78.070,0.501,0.0,0.0,2987556864.0,274575360.0,21304127488.0,4936953856.0
11.224,1.020,68.367,19.388,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,3.061,4.082,85.714,7.143,0.0,0.0,3.061,2.041,90.816,4.082,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,32.653,12.245,50.0,5.102,0.0,0.0,6.321,2.908,86.220,4.551,0.0,0.0,2994696192.0,275316736.0,21398749184.0,4834451456.0
8.911,3.960,84.158,1.980,0.0,0.990,3.0,1.0,96.0,0.0,0.0,0.0,27.0,16.0,53.0,4.0,0.0,0.0,34.0,1.0,65.0,0.0,0.0,0.0,4.082,12.245,83.673,0.0,0.0,0.0,0.0,4.040,95.960,0.0,0.0,0.0,7.0,7.0,85.0,1.0,0.0,0.0,3.0,9.0,88.0,0.0,0.0,0.0,11.028,6.767,81.328,0.752,0.0,0.125,3035820032.0,297578496.0,21496115200.0,4673699840.0
27.835,19.588,48.454,4.124,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,26.263,11.111,59.596,3.030,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.155,7.216,86.598,1.031,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.296,4.654,86.792,1.132,0.0,0.126,3093860352.0,324100096.0,21496115200.0,4589137920.0
18.0,7.0,72.0,2.0,0.0,1.0,1.0,1.0,98.0,0.0,0.0,0.0,10.0,8.0,82.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,32.653,21.429,42.857,3.061,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,37.0,1.0,62.0,0.0,0.0,0.0,12.422,4.642,82.309,0.502,0.0,0.125,3154182144.0,339464192.0,21495947264.0,4513619968.0
5.155,2.062,91.753,1.031,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,38.384,13.131,48.485,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,29.0,10.0,59.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,9.148,3.383,86.967,0.501,0.0,0.0,3222233088.0,359723008.0,21496107008.0,4425150464.0
17.647,9.804,57.843,14.706,0.0,0.0,30.693,1.980,67.327,0.0,0.0,0.0,0.0,11.111,84.848,4.040,0.0,0.0,0.0,1.010,92.929,6.061,0.0,0.0,37.755,18.367,34.694,9.184,0.0,0.0,3.0,1.0,87.0,9.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,11.069,5.535,78.113,5.283,0.0,0.0,3290755072.0,376942592.0,21564674048.0,4270841856.0
0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,1.010,78.788,19.192,0.0,1.010,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,90.909,9.091,0.0,0.0,0.0,1.0,31.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.125,0.500,71.250,28.125,0.0,0.0,3290259456.0,376942592.0,21564674048.0,4271337472.0
54.0,5.0,3.0,38.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,3.0,96.0,1.0,0.0,0.0,1.0,0.0,43.0,56.0,0.0,0.0,0.0,1.010,18.182,80.808,0.0,0.0,1.010,0.0,84.848,14.141,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,7.143,1.504,67.794,23.559,0.0,0.0,3295068160.0,377229312.0,21575553024.0,4255363072.0
0.0,0.0,99.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,61.224,33.673,0.0,5.102,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.0,98.020,0.0,0.0,0.0,7.789,4.648,86.935,0.628,0.0,0.0,3363192832.0,392712192.0,21575557120.0,4171751424.0
35.644,0.990,63.366,0.0,0.0,0.0,5.155,3.093,90.722,1.031,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,24.510,18.627,52.941,3.922,0.0,0.0,19.388,5.102,74.490,1.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10.309,7.216,81.443,1.031,0.0,0.0,11.839,4.660,82.494,0.882,0.0,0.126,3435409408.0,410882048.0,21575557120.0,4081364992.0
0.0,0.0,97.980,2.020,0.0,0.0,0.0,5.102,94.898,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.0,2.0,86.0,1.0,0.0,0.0,27.0,17.0,51.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,27.0,10.0,61.0,2.0,0.0,0.0,8.166,4.271,86.432,1.131,0.0,0.0,3496955904.0,425615360.0,21579493376.0,4001148928.0
0.0,6.122,84.694,9.184,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,3.960,94.059,1.980,0.0,0.0,0.0,13.131,81.818,5.051,0.0,0.0,54.082,28.571,2.041,15.306,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,36.364,1.010,45.455,16.162,0.0,1.010,11.278,6.892,75.564,6.140,0.0,0.125,3565109248.0,439136256.0,21701345280.0,3797622784.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.051,94.949,0.0,0.0,5.051,0.0,94.949,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.755,0.252,87.296,11.698,0.0,0.0,3565600768.0,439148544.0,21701345280.0,3797118976.0
19.0,5.0,76.0,0.0,0.0,0.0,21.0,6.0,26.0,47.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,95.0,0.0,1.0,17.172,3.030,26.263,53.535,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.081,0.0,91.919,0.0,0.0,0.0,8.428,2.264,64.780,24.528,0.0,0.0,3696881664.0,439201792.0,21706457088.0,3660673024.0
