"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 0,1,2,3,4,5,6,7,total -m --output one_commit.csv 1",,,,"Date:","17 May 2016 11:37:32 UTC"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
3.608,0.473,95.612,0.286,0.000,0.021,3.364,0.439,95.964,0.226,0.000,0.008,3.290,0.407,96.108,0.188,0.000,0.007,3.224,0.387,96.182,0.204,0.000,0.003,3.207,0.431,96.099,0.260,0.000,0.004,3.154,0.383,96.259,0.201,0.0,0.003,3.130,0.366,96.315,0.188,0.0,0.001,3.161,0.379,96.269,0.187,0.000,0.004,3.267,0.408,96.101,0.217,0.000,0.006,3459788800.0,274464768.0,19512553472.0,6256406528.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.250,0.0,99.750,0.0,0.0,0.0,3459608576.0,274464768.0,19512557568.0,6256582656.0
4.0,1.0,94.0,0.0,0.0,1.0,2.0,2.0,96.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,10.0,4.0,86.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,20.0,5.0,75.0,0.0,0.0,0.0,1.020,0.0,98.980,0.0,0.0,0.0,3.0,1.0,96.0,0.0,0.0,0.0,4.893,2.258,92.723,0.0,0.0,0.125,3469967360.0,274464768.0,19524050944.0,6234730496.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,6.0,90.0,0.0,0.0,0.0,3.0,0.0,97.0,0.0,0.0,0.0,89.0,11.0,0.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.171,2.133,85.696,0.0,0.0,0.0,3471065088.0,274464768.0,19589242880.0,6168440832.0
1.010,7.071,91.919,0.0,0.0,0.0,1.020,2.041,96.939,0.0,0.0,0.0,23.711,2.062,74.227,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,33.0,0.0,67.0,0.0,0.0,0.0,65.0,5.0,30.0,0.0,0.0,0.0,3.0,4.0,93.0,0.0,0.0,0.0,4.040,1.010,94.949,0.0,0.0,0.0,16.352,2.893,80.755,0.0,0.0,0.0,3472556032.0,274464768.0,19657871360.0,6098321408.0
8.081,4.040,80.808,7.071,0.0,0.0,14.141,25.253,59.596,1.010,0.0,0.0,6.0,2.0,88.0,4.0,0.0,0.0,3.030,3.030,93.939,0.0,0.0,0.0,2.041,5.102,90.816,2.041,0.0,0.0,0.0,2.970,71.287,25.743,0.0,0.0,1.020,1.020,91.837,6.122,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.648,5.402,84.296,5.653,0.0,0.0,3479883776.0,276054016.0,19828469760.0,5918806016.0
5.941,5.941,88.119,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,22.917,15.625,53.125,8.333,0.0,0.0,0.0,4.950,94.059,0.0,0.0,0.990,26.804,11.340,57.732,4.124,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,6.953,4.804,86.726,1.517,0.0,0.0,3510632448.0,300052480.0,19830296576.0,5862232064.0
9.184,1.020,89.796,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,36.0,9.0,52.0,3.0,0.0,0.0,23.0,21.0,54.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,8.521,4.135,86.717,0.627,0.0,0.0,3550093312.0,324374528.0,19830296576.0,5798449152.0
0.0,3.030,96.970,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,33.333,14.141,44.444,8.081,0.0,0.0,30.303,14.141,53.535,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,8.145,4.135,86.591,1.128,0.0,0.0,3592265728.0,338780160.0,19830296576.0,5741871104.0
0.0,6.122,93.878,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,36.634,8.911,51.485,2.970,0.0,0.0,28.125,18.750,47.917,5.208,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.945,4.035,86.885,1.135,0.0,0.0,3634991104.0,358510592.0,19830292480.0,5679419392.0
0.0,4.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,59.0,40.0,0.0,0.0,29.592,16.327,47.959,6.122,0.0,0.0,3.093,3.093,52.577,41.237,0.0,0.0,0.0,8.163,61.224,30.612,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.161,4.288,76.923,14.628,0.0,0.0,3669712896.0,370991104.0,19898396672.0,5564112896.0
1.0,0.0,84.0,15.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,9.0,6.0,2.0,83.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,4.040,16.162,79.798,0.0,0.0,0.0,2.941,19.608,77.451,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.250,1.750,65.0,32.0,0.0,0.0,3681345536.0,375656448.0,19909218304.0,5536993280.0
8.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,35.0,10.0,53.0,2.0,0.0,0.0,25.510,20.408,53.061,1.020,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,8.532,4.266,86.826,0.376,0.0,0.0,3725352960.0,387166208.0,19909218304.0,5481476096.0
